order_number,order_type,department,order_date,inspection_date_started,inspection_date_completed,buyer_name,shipper_name,vessel_carrier,bill_of_lading,bill_of_lading_date,inspection_place,client_ref_code,client_trade_name,client_Name,client_address,client_address,client_address,contact_name,contact_phone,contact_email,commodity_name,item_description,quantity,unit_name
LCG16-042,Local,CG,6/7/2016,5/7/2016,5/7/2016,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG16-043,Local,CG,11/7/2016,11/7/2016,11/7/2016,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG16-044,Local,CG,11/7/2016,9/7/2016,11/7/2016,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PACKING ROLL,,,
LCG16-045,Local,CG,11/7/2016,,,,,,,,,,DONG LUC J.S COMPANY,Công Ty Cổ Phần Động Lực,"Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội",,,,TOILET PAPER,,,
LCG16-046,Local,CG,12/7/2016,16/07/2016,19/07/2016,,,,,,,,"NHAT LINH CO LTD.,",CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO LIOA,"Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội",,,,Cable Reel,,,
LCG16-047,Local,CG,19/07/2016,28/07/2016,28/07/2016,,,,,,,,AN PHU SEAFOOD CORPORATION,CÔNG TY CỔ PHẦN THỦY HẢI SẢN AN PHÚ,"Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp",,,,BASA FILLET,,,
LCG16-048,Local,CG,19/07/2016,18/07/2016,18/07/2016,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG16-049,Local,CG,2/8/2016,6/8/2016,6/8/2016,,,,,,,,DONG LUC J.S COMPANY,Công Ty Cổ Phần Động Lực,"Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội",,,,TOILET PAPER,,,
LCG16-050,Local,CG,9/8/2016,8/8/2016,8/8/2016,,,,,,,,AN PHU SEAFOOD CORPORATION,CÔNG TY CỔ PHẦN THỦY HẢI SẢN AN PHÚ,"Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp",,,,BASA FILLET,,,
LCG16-051,Local,CG,15/08/2016,13/08/2016,16/08/2016,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG16-052,Local,CG,16/08/2016,12/8/2016,12/8/2016,,,,,,,,VINH THINH SERVICES AND TRADING IMPORT-EXPORT INVESTMENT JONT STOCK,CÔNG TY CỔ PHẦN ĐẦU TƯ XNK THƯƠNG MẠI VÀ DỊCH VỤ VINH THỊNH,"19 Ngõ Tức Mạc, Quận Hoàn Kiếm - Hà Nội, Việt Nam","20 Ngõ Tức Mạc, Quận Hoàn Kiếm - Hà Nội, Việt Nam","21 Ngõ Tức Mạc, Quận Hoàn Kiếm - Hà Nội, Việt Nam",,,,Garment for Children,,,
LCG16-053,Local,CG,23/08/2016,20/08/2016,23/08/2016,,,,,,,,"NHAT LINH CO LTD.,",CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO LIOA,"Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội",,,,Cable Reel,,,
LCG16-054,Local,CG,23/08/2016,22/08/2016,22/08/2016,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG16-055,Local,CG,23/08/2016,19/08/2016,20/08/2016,,,,,,,,"HOANG YEN CONSTRUCTION & TRADING CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG HOÀNG YẾN,"26B, Phan Chu Trinh, Khu phố 1, P. Hiệp Phú, TP. Thủ Đức, TP. Hồ Chí Minh, Việt Nam","26B, Phan Chu Trinh, Khu phố 1, P. Hiệp Phú, TP. Thủ Đức, TP. Hồ Chí Minh, Việt Nam","26B, Phan Chu Trinh, Khu phố 1, P. Hiệp Phú, TP. Thủ Đức, TP. Hồ Chí Minh, Việt Nam",,,,CERAMIC TILES,,,
LCG16-056,Local,CG,5/9/2016,29/08/2016,29/08/2016,,,,,,,,RANG DONG LIGHT SOURCE AND VACUUM FLASK JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,"87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.",,,,LAMP,,,
LCG16-057,Local,CG,27/09/2016,20/09/2016,22/09/2016,,,,,,,,THAI BINH INVESTMENT TRADING CORPORATION,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI THÁI BÌNH,"26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM",,,,CERAMIC TILES,,,
LCG16-058,Local,CG,4/10/2016,29/09/2016,1/10/2016,,,,,,,,"NHAT LINH CO LTD.,",CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO LIOA,"Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội",,,,Cable Reel,,,
LCG16-059,Local,CG,11/10/2016,6/10/2016,8/10/2016,,,,,,,,THAI BINH INVESTMENT TRADING CORPORATION,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI THÁI BÌNH,"26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM",,,,ELEMENT CASE,,,
LCG16-060,Local,CG,19/10/2016,17/10/2016,18/10/2016,,,,,,,,"NHAT LINH CO LTD.,",CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO LIOA,"Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội",,,,ElECTRONIC MATERIAL,,,
LCG16-061,Local,CG,2/11/2016,31/10/2016,14/11/2016,,,,,,,,VIGLACERA TRADING JSC,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIGLACERA,"Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",,,,SANITARY WARE,,,
LCG16-062,Local,CG,2/11/2016,28/10/2016,28/10/2016,,,,,,,,AN PHU SEAFOOD CORPORATION,CÔNG TY CỔ PHẦN THỦY HẢI SẢN AN PHÚ,"Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp",,,,BASA FILLET,,,
LCG16-063,Local,CG,15/11/2016,11/11/2016,12/11/2016,,,,,,,,THAI BINH INVESTMENT TRADING CORPORATION,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI THÁI BÌNH,"26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM",,,,CERAMIC TILES,,,
LCG16-064,Local,CG,16/11/2016,28/11/2016,29/11/2016,,,,,,,,"NHAT LINH CO LTD.,",CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO LIOA,"Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội",,,,Cable Reel,,,
LCG16-065,Local,CG,1/12/2016,6/12/2016,10/12/2016,,,,,,,,VIGLACERA TRADING JSC,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIGLACERA,"Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",,,,,,,
LCG16-066,Local,CG,15/12/2016,13/12/2016,13/12/2016,,,,,,,,RANG DONG LIGHT SOURCE AND VACUUM FLASK JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,"87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.",,,,SANITARY WARE,,,
LCG16-067,Local,CG,26/12/2016,24/12/2016,24/12/2016,,,,,,,,AN PHU SEAFOOD CORPORATION,CÔNG TY CỔ PHẦN THỦY HẢI SẢN AN PHÚ,"Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp",,,,BASA FILLET,,,
LCG16-068,Local,CG,29/12/2016,24/12/2016,27/12/2016,,,,,,,,DONG LUC J.S COMPANY,Công Ty Cổ Phần Động Lực,"Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội",,,,TOILET PAPER,,,
LCG17-001,Local,CG,13/01/2017,11/1/2017,11/1/2017,,,,,,,,THAI BINH INVESTMENT TRADING CORPORATION,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI THÁI BÌNH,"26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM","26B Phan Chu Trinh, P. Hiệp Phú, Thủ Đức, TP. HCM",,,,CERAMIC TILES,,,
LCG17-002,Local,CG,13/01/2017,4/1/2017,11/1/2017,,,,,,,,VIGLACERA TRADING JSC,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIGLACERA,"Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Tầng 1, Tòa nhà Viglacera, số 1 Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",,,,SANITARY WARE,,,
LCG17-003,Local,CG,18/01/2017,17/01/2017,17/01/2017,,,,,,,,RANG DONG LIGHT SOURCE AND VACUUM FLASK JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,"87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.",,,,LAMP,,,
LCG17-004,Local,CG,19/01/2017,21/01/2017,23/01/2017,,,,,,,,DONG LUC J.S COMPANY,Công Ty Cổ Phần Động Lực,"Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội",,,,PAPER,,,
LCG17-005,Local,CG,19/01/2017,16/01/2017,17/01/2017,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG17-006,Local,CG,23/01/2017,20/01/2017,21/01/2017,,,,,,,,"NHAT LINH CO LTD.,",CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO LIOA,"Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội",,,,Cable Reel,,,
LCG17-007,Local,CG,23/01/2017,21/01/2017,22/01/2017,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,BAGS,,,
LCG17-008,Local,CG,23/01/2017,22/01/2017,22/01/2017,,,,,,,,AN PHU SEAFOOD CORPORATION,CÔNG TY CỔ PHẦN THỦY HẢI SẢN AN PHÚ,"Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp","Ấp Tân Phú, Xã An Nhơn, Huyện Châu Thành, Tỉnh Đồng Tháp",,,,BASA FILLET,,,
LCG17-009,Local,CG,2/2/2017,21/01/2017,24/01/2017,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG17-010,Local,CG,13/02/2017,13/02/2017,14/02/2017,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG17-011,Local,CG,13/02/2017,11/2/2017,11/2/2017,,,,,,,,THAO MINH PRODUCE TRACE SERVICE COMPANY,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THẢO MINH,"491/181 Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam","491/181 Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam","491/181 Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,,,CONFECCIONS,,,
LCG17-012,Local,CG,22/02/2017,10/3/2017,10/3/2017,,,,,,,,NEOFLEX INDUSTRIAL PACKING LOGISTICS SERVICES S.A.,NEOFLEX INDUSTRIAL PACKING LOGISTICS SERVICES S.A.,IZMIR ANKARA ASFALTI CAD. NO:89/2-3 KEMALPASA / IZMIR / TURKEY,IZMIR ANKARA ASFALTI CAD. NO:89/2-3 KEMALPASA / IZMIR / TURKEY,IZMIR ANKARA ASFALTI CAD. NO:89/2-3 KEMALPASA / IZMIR / TURKEY,,,,BAG,,,
LCG17-013,Local,CG,22/02/2017,21/02/2017,21/02/2017,,,,,,,,"NHAT LINH CO LTD.,",CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO LIOA,"Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội","Dốc Đoàn Kết, Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội",,,,Cable Reel,,,
LCG17-014,Local,CG,22/02/2017,18/02/2017,21/02/2017,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG17-015,Local,CG,27/02/2017,24/02/2017,25/02/2017,,,,,,,,DONG LUC J.S COMPANY,Công Ty Cổ Phần Động Lực,"Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội","Số130 phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội",,,,TOILET PAPER,,,
LCG17-016,Local,CG,27/02/2017,24/02/2017,24/02/2017,,,,,,,,THAO MINH PRODUCE TRACE SERVICE COMPANY,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THẢO MINH,"491/181 Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam","491/181 Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam","491/181 Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,,,CONFECCIONS,,,
LCG17-017,Local,CG,1/3/2017,6/3/2017,7/3/2017,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
LCG17-018,Local,CG,1/3/2017,13/03/2017,13/03/2017,,,,,,,,RANG DONG LIGHT SOURCE AND VACUUM FLASK JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG,"87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.","87-89 Phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội.",,,,LAMP,,,
LCG17-019,Local,CG,1/3/2017,27/02/2017,28/02/2017,,,,,,,,"NHAT TRANG TRADE & TOURISM CO., LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH NHẬT TRANG,"Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.","Số 50C, Ngõ Trúc Lạc, Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",,,,PAPER,,,
